CLAMATO ID,RA,DEC,z
cl2016comb_zsp2.3_00871_F.fits,150.08844,2.24847,2.301
cl2016comb_zsp2.6_00923_F.fits,150.0679,2.15819,2.621
cl2016comb_zsp2.5_00941_F.fits,150.03569,2.2896,2.45
cl2016comb_zsp2.7_00954_F.fits,150.02919,2.25323,2.66
cl2016comb_zsp2.4_01012_F.fits,150.05318,2.1513,2.516
cl2016comb_zsp2.6_01016_F.fits,150.02277,2.14595,2.624
cl2016comb_zsp2.4_01321_F.fits,150.02322,2.37721,2.384
cl2016comb_zsp2.7_01349_F.fits,150.0231,2.31791,2.675
cl2016comb_zsp2.6_01865_F.fits,150.1011,2.24173,2.647
cl2016comb_zph2.5_12541_F.fits,150.10332,2.2585,2.438
cl2016comb_zph2.6_12722_F.fits,150.09888,2.16134,2.416
cl2016comb_zph2.3_12836_F.fits,150.04671,2.25102,2.284
cl2016comb_zph2.6_15035_F.fits,150.09714,2.45167,2.479
cl2016comb_zph2.4_15059_F.fits,150.16531,2.42249,2.506
cl2016comb_zph2.3_15171_F.fits,150.09419,2.34853,2.273
cl2016comb_zph2.6_15218_F.fits,150.17313,2.3254,2.613
cl2016comb_zsp2.6_15363_F.fits,149.98645,2.37884,2.545
cl2016comb_zsp2.4_15373_F.fits,150.00044,2.37243,2.42
cl2016comb_zph2.4_15473_F.fits,150.04306,2.31694,2.44
pc06_zph2.3_15159_F.fits,150.09453,2.35827,2.466
pc06_zsp2.4_00852_F.fits,150.06163,2.28314,2.377
cpilot06_zsp2.7_00857_F.fits,150.09343,2.27371,2.65
cpilot06_zsp2.7_01260_F.fits,150.07938,2.3406,2.679
cpilot06_zsp2.7_01276_F.fits,150.0798,2.30685,2.679
cpilot06_zsp2.7_01324_F.fits,150.03629,2.37356,2.73
cpilot05_zph2.3_12714_F.fits,150.0827,2.16487,2.26
cpilot02_zph2.5_12826_F.fits,150.00772,2.24664,2.525
cpilot02_zph2.5_12988_F.fits,149.98288,2.1657,2.42
cpilot02_zsp2.3_00962_F.fits,150.00296,2.24145,2.267
cpilot02_zsp2.3_01013_F.fits,149.96033,2.15784,2.297
cpilot02_zsp2.4_00965_F.fits,149.99504,2.2398,2.442
cpilot02_zsp2.4_01882_F.fits,149.99516,2.23734,2.45
cpilot02_zsp2.5_00990_F.fits,149.98834,2.20705,2.458
cpilot02_zsp2.6_00986_F.fits,149.99481,2.21234,2.556
cpilot02_zsp2.6_01009_F.fits,150.0136,2.16877,2.623
cpilot02_zsp2.7_00982_F.fits,150.02107,2.21256,2.658
cpilot09_zph2.5_15182_F.fits,150.12419,2.34884,2.513
cpilot09_zph2.5_15268_F.fits,150.15688,2.30079,2.505
cpilot09_zph2.6_12505_F.fits,150.21675,2.36974,2.408
cpilot09_zph2.6_15214_F.fits,150.11501,2.3276,2.551
cpilot09_zph2.7_15220_F.fits,150.12335,2.32413,2.623
cpilot09_zsp2.5_00856_F.fits,150.161,2.2759,2.504
cpilot09_zsp2.5_01753_F.fits,150.15979,2.37123,2.458
cpilot09_zsp2.5_01754_F.fits,150.14763,2.36719,2.452
cpilot09_zsp2.6_01252_F.fits,150.16002,2.35477,2.556
cpilot09_zsp2.6_01262_F.fits,150.11871,2.33762,2.552
cpilot09_zsp2.7_00858_F.fits,150.14117,2.27234,2.747
cpilot08_zph2.2_12568_F.fits,150.16913,2.23838,2.451
cpilot08_zph2.3_01886_F.fits,150.21675,2.36974,2.305
cpilot08_zph2.5_12604_F.fits,150.1651,2.22747,2.437
cpilot08_zsp2.3_00892_F.fits,150.10474,2.21573,2.324
cpilot08_zsp2.4_00877_F.fits,150.12111,2.23542,2.432
cpilot08_zsp2.7_00889_F.fits,150.14442,2.21977,2.702
cpilot08_zsp2.7_00903_F.fits,150.1205,2.1923,2.688
cpilot08_zsp2.7_00933_F.fits,150.10455,2.13738,2.69
cpilot03_zph2.4_15492_F.fits,149.95932,2.30758,2.555
cpilot03_zph2.6_12812_F.fits,150.0199,2.26976,2.42
cpilot03_zsp2.3_01330_F.fits,149.99364,2.36083,2.256
cpilot03_zsp2.5_01345_F.fits,150.0118,2.32297,2.467
cpilot03_zsp2.6_01352_F.fits,150.01968,2.31087,2.624
cpilot12_zph2.4_14888_F.fits,150.24263,2.35848,2.278
cpilot12_zph2.4_14925_F.fits,150.23189,2.33713,2.456
cpilot12_zph2.4_15146_F.fits,150.22118,2.37094,2.52
cpilot12_zph2.6_12247_F.fits,150.24257,2.27782,2.525
cpilot12_zph2.6_14947_F.fits,150.2346,2.33237,2.505
cpilot12_zph2.6_15161_F.fits,150.22186,2.36248,2.5
cpilot12_zph2.6_15173_F.fits,150.22505,2.35619,2.507
cpilot12_zsp2.5_01268_F.fits,150.21138,2.32292,2.46
cpilot12_zsp2.5_01274_F.fits,150.22343,2.3072,2.491
cpilot12_zsp2.7_01272_F.fits,150.19978,2.3155,2.738
npc05_zph2.3_12595_F.fits,150.07341,2.23328,2.303
npc05_zph2.3_12701_F.fits,150.07675,2.17348,2.486
npc05_zph2.5_12653_F.fits,150.06866,2.18897,2.3
npc05_zsp2.3_00964_F.fits,150.05905,2.24059,2.283
npc05_zsp2.4_01861_F.fits,150.08061,2.24284,2.437
c16_24_zph2.4_15103_F.fits,150.22504,2.39841,2.645
c16_24_zph2.4_15121_F.fits,150.2166,2.37826,2.373
c16_24_zph2.6_17723_F.fits,150.21797,2.49178,2.645
c16_24_zph2.7_17497_F.fits,150.22946,2.47711,2.66
c16_24_zsp2.5_01778_F.fits,150.19771,2.48577,2.49
c16_24_zsp2.6_01219_F.fits,150.20456,2.45545,2.58
c16_24_zsp2.7_01779_F.fits,150.20668,2.48269,2.676
c16_11_zph2.4_12707_F.fits,150.20447,2.17102,2.37
c16_11_zph2.5_12304_F.fits,150.22772,2.23602,2.493
