# Filename			 ID      g-mag  Conf   zspec   RA           Dec      S/N_lowz S/N_hiz
  cl2016comb_zsp2.3_00871_F.fits 00871   24.33   4.0   2.301  150.08844    2.24847     3.6    -9.0
  cl2016comb_zsp2.6_00923_F.fits 00923   24.88   4.0   2.621  150.06790    2.15819     1.4     1.5
  cl2016comb_zsp2.5_00941_F.fits 00941   24.35   3.0   2.450  150.03569    2.28960     2.4     2.4
  cl2016comb_zsp2.7_00954_F.fits 00954   24.32   4.0   2.660  150.02919    2.25323     4.8     5.1
  cl2016comb_zsp2.6_00966_F.fits 00966   24.60   3.0   2.558  150.03355    2.23549     1.9     1.9
  cl2016comb_zsp2.4_00979_F.fits 00979   24.42   0.0   0.000  150.03796    2.21693    -9.0    -9.0
  cl2016comb_zsp2.4_01012_F.fits 01012   24.68   2.0   2.516  150.05318    2.15130    -9.0    -9.0
  cl2016comb_zsp2.6_01016_F.fits 01016   24.65   4.0   2.624  150.02277    2.14595     3.0     3.5
  cl2016comb_zsp2.4_01265_F.fits 01265   23.08  14.0   2.450  150.06456    2.32903     7.6     0.0
  cl2016comb_zsp2.4_01321_F.fits 01321   24.48   2.0   2.384  150.02322    2.37721    -9.0    -9.0
  cl2016comb_zsp2.7_01349_F.fits 01349   25.18   4.0   2.675  150.02310    2.31791     1.8     2.1
  cl2016comb_zsp2.5_01584_F.fits 01584   24.29   4.0   2.447  150.02586    2.47677     1.6     3.1
  cl2016comb_zsp2.6_01865_F.fits 01865   24.69   4.0   2.647  150.10110    2.24173     2.5     2.8
  cl2016comb_zph2.5_12522_F.fits 12522   24.62   0.0   0.000  150.07216    2.26849    -9.0    -9.0
  cl2016comb_zph2.5_12541_F.fits 12541   24.53   3.0   2.438  150.10332    2.25850     3.3     4.2
  cl2016comb_zph2.4_12654_F.fits 12654   24.76   0.0   0.000  150.06963    2.19355    -9.0    -9.0
  cl2016comb_zph2.6_12722_F.fits 12722   25.07   3.0   2.416  150.09888    2.16134     1.3     1.6
  cl2016comb_zph2.3_12799_F.fits 12799   24.90   2.0   2.910  150.05951    2.28002    -9.0    -9.0
  cl2016comb_zph2.3_12836_F.fits 12836   23.95   3.0   2.284  150.04671    2.25102     2.6    -9.0
  cl2016comb_zsp2.4_12913_F.fits 12913   24.75   3.0   2.418  150.03506    2.20399     1.9     2.0
  cl2016comb_zsp2.4_12960_F.fits 12960   24.38   3.0   2.431  150.03925    2.17864     1.8     2.0
  cl2016comb_zph2.6_15035_F.fits 15035   24.57   3.0   2.479  150.09714    2.45167     1.7     1.8
  cl2016comb_zph2.4_15059_F.fits 15059   24.16   4.0   2.506  150.16531    2.42249     5.2     5.0
  cl2016comb_zsp2.5_15140_F.fits 15140   24.39   4.0   2.457  150.11200    2.37263     3.8     3.7
  cl2016comb_zph2.3_15171_F.fits 15171   23.64   3.0   2.273  150.09419    2.34853     4.5    -9.0
  cl2016comb_zph2.6_15218_F.fits 15218   24.26   4.0   2.613  150.17313    2.32540     3.3     3.7
  cl2016comb_zph2.8_15295_F.fits 15295   25.09   1.0   3.030  150.02417    2.44791    -9.0    -9.0
  cl2016comb_zsp2.6_15363_F.fits 15363   24.85   3.0   2.545  149.98645    2.37884     2.4     2.4
  cl2016comb_zsp2.4_15373_F.fits 15373   24.79   3.0   2.420  150.00044    2.37243     1.7     1.8
  cl2016comb_zph2.7_15399_F.fits 15399   22.24  14.0   2.689  150.02010    2.35363    14.9    16.4
  cl2016comb_zph2.4_15473_F.fits 15473   24.72   3.0   2.440  150.04306    2.31694     1.3     1.5
  cl2016comb_zph2.6_17728_F.fits 17728   24.19   4.0   2.490  150.10600    2.49014     2.6     3.3
  cl2016comb_zph2.4_26295_F.fits 26295   23.43   1.0   0.014  150.09500    2.45592    -9.0    -9.0
        pc06_zph2.2_01910_F.fits 01910   24.38   2.0   2.087  150.21675    2.36974    -9.0    -9.0
